Cereal Name,Manufacturer,Type,pcar,Travel (min),Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
,DC Census Tracts,C,33.00351101,24.99261448,1,130,10,5,6,3,280,25,1,0.33
,DC Census Tracts,C,49.64329643,27.01712146,5,15,2,8,8,3,135,0,1,-1
,DC Census Tracts,C,32.04022989,27.38653748,1,260,9,7,5,3,320,25,1,0.33
,DC Census Tracts,C,58.46613546,25.84733894,0,140,14,8,0,3,330,25,1,0.5
,DC Census Tracts,C,48.73195474,27.28801843,2,200,1,14,8,3,-1,25,1,0.75
,DC Census Tracts,C,48.28399266,29.59428571,2,180,1.5,10.5,10,1,70,25,1,0.75
,DC Census Tracts,C,46.56518345,30.54510475,0,125,1,11,14,2,30,25,1,1
,DC Census Tracts,C,36.65143603,29.23378475,2,210,2,18,8,3,100,25,1.33,0.75
,DC Census Tracts,C,40.27676621,31.11581377,1,200,4,15,6,1,125,25,1,0.67
,DC Census Tracts,C,29.12209517,27.35865553,0,210,5,13,5,3,190,25,1,0.67
,DC Census Tracts,C,53.32177932,32.41454319,2,220,0,12,12,2,35,25,1,0.75
,DC Census Tracts,C,69.74988202,33.27542156,2,290,2,17,1,1,105,25,1,1.25
,DC Census Tracts,C,56.47058824,29.53027523,3,210,0,13,9,2,45,25,1,0.75
,DC Census Tracts,C,51.29132231,34.0720524,2,140,2,13,7,3,105,25,1,0.5
,DC Census Tracts,C,52.84210526,31.85117302,1,180,0,12,13,2,55,25,1,1
,DC Census Tracts,C,61.74430129,31.8616188,0,280,0,22,3,1,25,25,1,1
,DC Census Tracts,C,55.99790466,33.44919786,0,290,1,21,2,1,35,25,1,1
,DC Census Tracts,C,42.78586279,30.38592751,0,90,1,13,12,2,20,25,1,1
,DC Census Tracts,C,25.72515454,31.74774323,1,180,0,12,13,2,65,25,1,1
,DC Census Tracts,C,21.53482082,31.52166437,3,140,4,10,7,3,160,25,1,0.5
,DC Census Tracts,H,24.59178624,32.50933333,0,80,1,21,0,2,-1,0,1,1
,DC Census Tracts,C,33.97913562,30.3960396,0,220,1,21,3,3,30,25,1,1
,DC Census Tracts,C,38.60103627,28.33462133,1,140,2,11,10,3,120,25,1,0.75
,DC Census Tracts,C,41.80216802,29.20600858,0,190,1,18,5,3,80,25,1,0.75
,DC Census Tracts,C,30.6498829,28.85846154,1,125,1,11,13,2,30,25,1,1
,DC Census Tracts,C,22.79289284,28.65619546,0,200,1,14,11,1,25,25,1,0.75
,DC Census Tracts,C,26.20689655,28.27090733,0,0,3,14,7,2,100,25,1,0.8
,DC Census Tracts,C,20.61952441,31.10728346,0,240,5,14,12,3,190,25,1.33,0.67
,DC Census Tracts,C,31.47843266,28.51403509,1,135,0,13,12,2,25,25,1,0.75
,DC Census Tracts,C,19.39419436,29.03388278,0,45,0,11,15,1,40,25,1,0.88
,DC Census Tracts,C,24.30011198,24.3514229,1,280,0,15,9,2,45,25,1,0.75
,DC Census Tracts,C,20.33112583,25.62345896,1,140,3,15,5,3,85,25,1,0.88
,DC Census Tracts,C,17.81415503,27.59769539,0,170,3,17,3,3,90,25,1,0.25
,DC Census Tracts,C,22.04633205,28.11728395,3,75,3,13,4,3,100,25,1,0.33
,DC Census Tracts,C,26.23211447,25.18833536,2,220,1,12,11,2,45,25,1,1
,DC Census Tracts,C,25.53290083,24.28605654,1,250,1.5,11.5,10,1,90,25,1,0.75
,DC Census Tracts,C,25.17438174,24.01045069,0,180,0,14,11,1,35,25,1,1.33
,DC Census Tracts,C,16.03662832,22.98734485,1,170,1,17,6,3,60,100,1,-1
,DC Census Tracts,C,24.0141369,24.94671901,1,170,2,20,9,3,95,100,1.3,0.75
,DC Census Tracts,C,23.8822012,25.67216448,1,260,0,21,3,2,40,25,1,1.5
,DC Census Tracts,C,18.58141858,21.79487179,2,150,2,12,6,2,95,25,1,0.67
,DC Census Tracts,C,15.71428571,23.10344828,1,180,0,12,12,2,55,25,1,1
,DC Census Tracts,H,18.0319423,22.85513756,1,0,0,16,3,2,95,25,1,-1
,DC Census Tracts,C,35.69131833,27.83873487,2,150,3,17,13,3,160,25,1.5,0.67
,DC Census Tracts,C,39.28104575,28.15164221,1,220,2,15,6,1,90,25,1,1
,DC Census Tracts,C,29.33333333,21.10089186,1,190,0,15,9,2,40,25,1,0.67
,DC Census Tracts,C,30.76358297,27.0438247,2,220,3,21,7,3,130,25,1.33,0.67
,DC Census Tracts,C,59.94428969,33.20738636,0,170,3,18,2,3,90,25,1,-1
,DC Census Tracts,C,54.48275862,38.92538265,2,170,1.5,13.5,10,3,120,25,1.25,0.5
,DC Census Tracts,C,56.7553993,30.83419958,1,200,6,11,14,3,260,25,1.33,0.67
,DC Census Tracts,C,48.24902724,27.7388535,0,320,1,20,3,3,45,100,1,1
,DC Census Tracts,C,35.65022422,30.07364144,0,0,0,13,0,3,15,0,0.5,1
,DC Census Tracts,C,21.9989696,24.02459016,0,0,1,10,0,3,50,0,0.5,-1
,DC Census Tracts,C,25.07221259,25.05441354,1,135,2,14,6,3,110,25,1,0.5
,DC Census Tracts,H,33.98486759,27.32236842,2,0,2.7,-1,-1,1,110,0,1,0.67
,DC Census Tracts,C,38.28067597,27.49022674,1,210,5,14,12,2,240,25,1.33,0.75
,DC Census Tracts,C,51.00342633,30.24114931,2,140,2.5,10.5,8,3,140,25,1,0.5
,DC Census Tracts,C,64.8,34.06456533,0,0,2,15,6,3,110,25,1,0.5
,DC Census Tracts,C,45.13274336,28.11702515,0,240,0,23,2,1,30,25,1,1.13
,DC Census Tracts,C,54.87288136,29.7069209,0,290,0,22,3,1,35,25,1,1
,DC Census Tracts,C,28.03519062,25.26461538,0,0,3,16,0,1,95,0,0.83,-1
,DC Census Tracts,C,30.97802671,28.02655678,0,0,4,19,0,1,140,0,1,0.67
,DC Census Tracts,C,30.66176471,29.20241459,0,0,3,20,0,1,120,0,1,0.67
,DC Census Tracts,C,30.954323,27.74911817,1,70,1,9,15,2,40,25,1,0.75
,DC Census Tracts,C,64.25610318,28.97327707,0,230,1,16,3,1,55,25,1,1
,DC Census Tracts,C,46.49791956,35.1173542,0,15,3,15,5,2,90,25,1,-1
,DC Census Tracts,C,25.38975501,32.83642496,1,200,0,21,3,3,35,100,1,1
,DC Census Tracts,C,44.04432133,35.44043321,1,190,4,15,14,3,230,100,1.5,1
,DC Census Tracts,C,15.99292572,24.28160167,1,200,3,16,3,3,110,100,1,1
,DC Census Tracts,C,45.4028021,26.88944268,1,250,0,21,3,3,60,25,1,0.75
,DC Census Tracts,C,74.18836387,25.49711571,1,140,0,13,12,2,25,25,1,1
,DC Census Tracts,C,28.30374753,27.53634895,1,230,3,17,3,1,115,25,1,0.67
,DC Census Tracts,C,23.14897413,25.18928901,1,200,3,17,3,1,110,25,1,1
,DC Census Tracts,C,32.92262198,34.10856574,1,200,1,16,8,1,60,25,1,0.75
,DC Census Tracts,,39.02798233,29.58795563,,,,,,,,,,
,DC Census Tracts,,35.08424182,33.13818565,,,,,,,,,,
,DC Census Tracts,,39.19878296,31.89616253,,,,,,,,,,
,DC Census Tracts,,16.90438457,21.91232877,,,,,,,,,,
,DC Census Tracts,,47.13375796,29.99275887,,,,,,,,,,
,DC Census Tracts,,63.18347509,29.32298547,,,,,,,,,,
,DC Census Tracts,,71.3070379,28.53396389,,,,,,,,,,
,DC Census Tracts,,50.13638843,30.94367015,,,,,,,,,,
,DC Census Tracts,,23.72515125,31.94158879,,,,,,,,,,
,DC Census Tracts,,23.72685185,31.56604538,,,,,,,,,,
,DC Census Tracts,,14.9044586,25.21337497,,,,,,,,,,
,DC Census Tracts,,44.52495974,29.83471074,,,,,,,,,,
,DC Census Tracts,,40.97268488,30.37125341,,,,,,,,,,
,DC Census Tracts,,53.54213274,31.48669202,,,,,,,,,,
,DC Census Tracts,,30.11472275,29.31362725,,,,,,,,,,
,DC Census Tracts,,16.57587549,24.18999152,,,,,,,,,,
,DC Census Tracts,,58.40099938,37.31357553,,,,,,,,,,
,DC Census Tracts,,51.94805195,34.78917231,,,,,,,,,,
,DC Census Tracts,,31.8263205,21.23453736,,,,,,,,,,
,DC Census Tracts,,60.22866476,33.2244143,,,,,,,,,,
,DC Census Tracts,,41.17647059,32.38572323,,,,,,,,,,
,DC Census Tracts,,44.52554745,28.18006431,,,,,,,,,,
,DC Census Tracts,,28.67746289,24.89469862,,,,,,,,,,
,DC Census Tracts,,37.3907979,22.14133089,,,,,,,,,,
,DC Census Tracts,,63.37209302,28.605,,,,,,,,,,
,DC Census Tracts,,48.942754,32.5616151,,,,,,,,,,
,DC Census Tracts,,57.20978657,30.71876634,,,,,,,,,,
,DC Census Tracts,,5.874378671,19.17801556,,,,,,,,,,
,DC Census Tracts,,36.11658133,28.44693878,,,,,,,,,,
,DC Census Tracts,,39.67213115,30.14722537,,,,,,,,,,
,DC Census Tracts,,48.60050891,36.25517241,,,,,,,,,,
,DC Census Tracts,,49.31506849,32.30255164,,,,,,,,,,
,DC Census Tracts,,27.17520858,23.14849624,,,,,,,,,,
,DC Census Tracts,,48.59967051,33.14446653,,,,,,,,,,
,DC Census Tracts,,56.38214565,34.58196721,,,,,,,,,,
,DC Census Tracts,,26.67173252,25.79933389,,,,,,,,,,
,DC Census Tracts,,46.2478185,35.79406632,,,,,,,,,,
,DC Census Tracts,,53.58462676,34.97764531,,,,,,,,,,
,DC Census Tracts,,51.41843972,35.09025271,,,,,,,,,,
,DC Census Tracts,,38.79500367,32.74546828,,,,,,,,,,
,DC Census Tracts,,54.50716091,37.19460826,,,,,,,,,,
,DC Census Tracts,,57.54422477,37.0964247,,,,,,,,,,
,DC Census Tracts,,52.69662921,37.48013621,,,,,,,,,,
,DC Census Tracts,,61.79952644,34.71360382,,,,,,,,,,
,DC Census Tracts,,56.1752988,34.61126005,,,,,,,,,,
,DC Census Tracts,,45.44600939,30.38497653,,,,,,,,,,
,DC Census Tracts,,72.20683287,31.74119886,,,,,,,,,,
,DC Census Tracts,,58.81773399,38.17404427,,,,,,,,,,
,DC Census Tracts,,60.04645761,40.2205006,,,,,,,,,,
,DC Census Tracts,,43.04235091,33.65605659,,,,,,,,,,
