N_Name,P_Car,GEOID,PP_Car
No Cluster,No Data,11001002302,No Data
No Cluster,No Data,11001006202,No Data
Capitol Hill Lincoln Park,No Data,11001006804,No Data
No Cluster,No Data,11001007301,No Data
No Cluster,No Data,11001010900,No Data
West End Foggy Bottom GWU,0.058744,11001010800,5.87
Georgetown Burleith/Hillandale,0.061375,11001000201,6.14
West End Foggy Bottom GWU,0.149045,11001005600,14.90
Downtown Chinatown Penn MV Square N Capitol St,0.157143,11001005900,15.71
Dupont Circle Connecticut Avenue/K Street,0.159929,11001005301,15.99
Shaw Logan Circle,0.160366,11001005002,16.04
Dupont Circle Connecticut Avenue/K Street,0.165759,11001010700,16.58
Downtown Chinatown Penn MV Square N Capitol St,0.169044,11001010100,16.90
Dupont Circle Connecticut Avenue/K Street,0.178142,11001004202,17.81
Capitol Hill Lincoln Park,0.180319,11001006500,18.03
Downtown Chinatown Penn MV Square N Capitol St,0.185814,11001005800,18.58
Kalorama Heights Adams Morgan Lanier Heights,0.193942,11001004002,19.39
Dupont Circle Connecticut Avenue/K Street,0.203311,11001004201,20.33
Kalorama Heights Adams Morgan Lanier Heights,0.206195,11001003900,20.62
Columbia Heights Mt. Pleasant Park View,0.215348,11001002802,21.53
Columbia Heights Mt. Pleasant Park View,0.216114,11001002701,21.61
NoMa Union Station Stanton Park Kingman Park,0.21999,11001008200,22.00
Howard University Le Droit Park Cardozo/Shaw,0.220463,11001004300,22.05
Columbia Heights Mt. Pleasant Park View,0.227929,11001003700,22.79
Shaw Logan Circle,0.23149,11001004802,23.15
Columbia Heights Mt. Pleasant Park View,0.237252,11001002801,23.73
Columbia Heights Mt. Pleasant Park View,0.237269,11001003500,23.73
Dupont Circle Connecticut Avenue/K Street,0.238822,11001005500,23.88
Shaw Logan Circle,0.240141,11001005201,24.01
Kalorama Heights Adams Morgan Lanier Heights,0.243001,11001004100,24.30
Columbia Heights Mt. Pleasant Park View,0.245918,11001003000,24.59
NoMa Union Station Stanton Park Kingman Park,0.250722,11001008301,25.07
Shaw Logan Circle,0.251744,11001005001,25.17
Columbia Heights Mt. Pleasant Park View,0.253898,11001002900,25.39
Shaw Logan Circle,0.255329,11001004902,25.53
Columbia Heights Mt. Pleasant Park View,0.257252,11001002702,25.73
Kalorama Heights Adams Morgan Lanier Heights,0.262069,11001003800,26.21
Howard University Le Droit Park Cardozo/Shaw,0.262321,11001004400,26.23
Capitol Hill Lincoln Park,0.266717,11001006600,26.67
Downtown Chinatown Penn MV Square N Capitol St,0.271752,11001004702,27.18
Southwest/Waterfront Fort McNair Buzzard Point,0.280352,11001010200,28.04
Howard University Le Droit Park Cardozo/Shaw,0.283037,11001003400,28.30
Edgewood Bloomingdale Truxton Circle Eckington,0.284404,11001009204,28.44
Shaw Logan Circle,0.286775,11001004901,28.68
North Cleveland Park Forest Hills Van Ness,0.291221,11001001302,29.12
Capitol Hill Lincoln Park,0.293333,11001007000,29.33
River Terrace Benning Greenway Fort Dupont,0.296209,11001007708,29.62
Edgewood Bloomingdale Truxton Circle Eckington,0.301147,11001009201,30.11
Columbia Heights Mt. Pleasant Park View,0.306499,11001003600,30.65
NoMa Union Station Stanton Park Kingman Park,0.306618,11001010600,30.66
Near Southeast Navy Yard,0.307636,11001007100,30.76
Southwest/Waterfront Fort McNair Buzzard Point,0.309543,11001011000,30.95
Southwest/Waterfront Fort McNair Buzzard Point,0.30978,11001010500,30.98
Shaw Logan Circle,0.31357,11001004801,31.36
Kalorama Heights Adams Morgan Lanier Heights,0.314784,11001004001,31.48
Sheridan Barry Farm Buena Vista,0.3174,11001007401,31.74
Georgetown Burleith/Hillandale,0.318263,11001000202,31.83
Cleveland Park Woodley Park Mass Ave Heights,0.320402,11001000502,32.04
Columbia Heights Mt. Pleasant Park View,0.329226,11001003100,32.92
Georgetown Burleith/Hillandale,0.330035,11001000100,33.00
Downtown Chinatown Penn MV Square N Capitol St,0.334983,11001004701,33.50
Columbia Heights Mt. Pleasant Park View,0.339791,11001003200,33.98
NoMa Union Station Stanton Park Kingman Park,0.339849,11001008302,33.98
Congress Heights Bellevue Washington Highlands,0.340471,11001009802,34.05
Ivy City Arboretum Trinidad Carver Langston,0.343891,11001008803,34.39
Southwest/Waterfront Fort McNair Buzzard Point,0.347059,11001006400,34.71
Congress Heights Bellevue Washington Highlands,0.350842,11001007304,35.08
NoMa Union Station Stanton Park Kingman Park,0.356502,11001008100,35.65
Capitol Hill Lincoln Park,0.356913,11001006700,35.69
Cleveland Park Woodley Park Mass Ave Heights,0.361166,11001000501,36.12
North Cleveland Park Forest Hills Van Ness,0.366514,11001001200,36.65
Near Southeast Navy Yard,0.373908,11001007200,37.39
NoMa Union Station Stanton Park Kingman Park,0.382807,11001008402,38.28
Edgewood Bloomingdale Truxton Circle Eckington,0.38601,11001003301,38.60
Edgewood Bloomingdale Truxton Circle Eckington,0.38795,11001009203,38.80
Douglass Shipley Terrace,0.388137,11001007404,38.81
Capitol Hill Lincoln Park,0.39028,11001006802,39.03
Takoma Brightwood Manor Park,0.391988,11001001702,39.20
Capitol Hill Lincoln Park,0.39281,11001006900,39.28
Douglass Shipley Terrace,0.395451,11001007403,39.55
Edgewood Bloomingdale Truxton Circle Eckington,0.396721,11001008702,39.67
Brightwood Park Crestwood Petworth,0.400344,11001002502,40.03
North Cleveland Park Forest Hills Van Ness,0.402768,11001001301,40.28
Capitol View Marshall Heights Benning Heights,0.407583,11001009906,40.76
Edgewood Bloomingdale Truxton Circle Eckington,0.409727,11001008701,40.97
Brightwood Park Crestwood Petworth,0.411765,11001002202,41.18
Congress Heights Bellevue Washington Highlands,0.41763,11001009811,41.76
Edgewood Bloomingdale Truxton Circle Eckington,0.418022,11001003302,41.80
Ivy City Arboretum Trinidad Carver Langston,0.422354,11001008804,42.24
Brightwood Park Crestwood Petworth,0.427859,11001002400,42.79
Cathedral Heights McLean Gardens Glover Park,0.43577,11001000702,43.58
Takoma Brightwood Manor Park,0.440443,11001010300,44.04
Capitol Hill Lincoln Park,0.44525,11001006801,44.53
Edgewood Bloomingdale Truxton Circle Eckington,0.445255,11001004600,44.53
River Terrace Benning Greenway Fort Dupont,0.446918,11001009603,44.69
Lamond Riggs Fort Totten Pleasant Hill,0.451327,11001009501,45.13
Cathedral Heights McLean Gardens Glover Park,0.454028,11001001002,45.40
Deanwood Burrville Lincoln Heights,0.45446,11001007804,45.45
Congress Heights Bellevue Washington Highlands,0.459459,11001009810,45.95
Cleveland Park Woodley Park Mass Ave Heights,0.461321,11001000600,46.13
Sheridan Barry Farm Buena Vista,0.462478,11001007406,46.25
Brightwood Park Crestwood Petworth,0.464979,11001002101,46.50
Friendship Heights AU Park Tenleytown,0.465652,11001001100,46.57
Deanwood Burrville Lincoln Heights,0.467603,11001007808,46.76
Woodland/Fort Stanton Garfield Heights Knox Hill,0.469388,11001007408,46.94
N Michigan Park Michigan Park University Heights,0.471338,11001009504,47.13
Ivy City Arboretum Trinidad Carver Langston,0.478293,11001008903,47.83
River Terrace Benning Greenway Fort Dupont,0.481308,11001007703,48.13
NoMa Union Station Stanton Park Kingman Park,0.48249,11001008002,48.25
Friendship Heights AU Park Tenleytown,0.48284,11001001001,48.28
Hawthorne Barnaby Woods Chevy Chase,0.485997,11001001402,48.60
Historic Anacostia,0.486005,11001007503,48.60
Spring Valley Palisades Wesley Heights Foxhall,0.48732,11001000901,48.73
Brookland Brentwood Langdon,0.489428,11001009102,48.94
NoMa Union Station Stanton Park Kingman Park,0.493151,11001008410,49.32
NoMa Union Station Stanton Park Kingman Park,0.493413,11001007901,49.34
Twining Fairlawn Fort Davis Park Dupont Park,0.495663,11001007709,49.57
Georgetown Burleith/Hillandale,0.496433,11001000300,49.64
Deanwood Burrville Lincoln Heights,0.496608,11001007806,49.66
Brightwood Park Crestwood Petworth,0.501364,11001002301,50.14
Brookland Brentwood Langdon,0.503316,11001009301,50.33
Twining Fairlawn Fort Davis Park Dupont Park,0.506501,11001007601,50.65
Ivy City Arboretum Trinidad Carver Langston,0.510034,11001008802,51.00
Takoma Brightwood Manor Park,0.512913,11001001901,51.29
Douglass Shipley Terrace,0.513223,11001007409,51.32
NoMa Union Station Stanton Park Kingman Park,0.514184,11001007903,51.42
Takoma Brightwood Manor Park,0.519481,11001001803,51.95
Brookland Brentwood Langdon,0.52468,11001009302,52.47
Capitol View Marshall Heights Benning Heights,0.526966,11001009904,52.70
Brightwood Park Crestwood Petworth,0.528421,11001002001,52.84
Hawthorne Barnaby Woods Chevy Chase,0.533218,11001001401,53.32
Ivy City Arboretum Trinidad Carver Langston,0.535421,11001008904,53.54
Woodland/Fort Stanton Garfield Heights Knox Hill,0.535846,11001007502,53.58
Historic Anacostia,0.539254,11001007504,53.93
Twining Fairlawn Fort Davis Park Dupont Park,0.544828,11001007605,54.48
Mayfair Hillbrook Mahaning Heights,0.545072,11001009602,54.51
Brightwood Park Crestwood Petworth,0.547703,11001002600,54.77
N Michigan Park Michigan Park University Heights,0.548729,11001009509,54.87
Congress Heights Bellevue Washington Highlands,0.548908,11001009807,54.89
Mayfair Hillbrook Mahaning Heights,0.556014,11001007803,55.60
Eastland Gardens Kenilworth,0.558179,11001009601,55.82
Deanwood Burrville Lincoln Heights,0.559097,11001007807,55.91
Brightwood Park Crestwood Petworth,0.559979,11001002201,56.00
Capitol View Marshall Heights Benning Heights,0.562118,11001007707,56.21
Brightwood Park Crestwood Petworth,0.563821,11001002501,56.38
Takoma Brightwood Manor Park,0.564706,11001001804,56.47
NoMa Union Station Stanton Park Kingman Park,0.567554,11001008001,56.76
Lamond Riggs Fort Totten Pleasant Hill,0.567591,11001009505,56.76
Lamond Riggs Fort Totten Pleasant Hill,0.572098,11001009508,57.21
Congress Heights Bellevue Washington Highlands,0.575442,11001009804,57.54
Fairfax Village Hillcrest Summit Park,0.57913,11001007603,57.91
Cleveland Park Woodley Park Mass Ave Heights,0.581725,11001000400,58.17
Congress Heights Bellevue Washington Highlands,0.58401,11001010400,58.40
Cathedral Heights McLean Gardens Glover Park,0.584661,11001000701,58.47
Congress Heights Bellevue Washington Highlands,0.588177,11001009700,58.82
Congress Heights Bellevue Washington Highlands,0.58864,11001009801,58.86
Deanwood Burrville Lincoln Heights,0.590232,11001007809,59.02
Congress Heights Bellevue Washington Highlands,0.591837,11001009803,59.18
Twining Fairlawn Fort Davis Park Dupont Park,0.596886,11001009901,59.69
N Michigan Park Michigan Park University Heights,0.597159,11001009503,59.72
Fairfax Village Hillcrest Summit Park,0.599443,11001007604,59.94
Capitol View Marshall Heights Benning Heights,0.600465,11001009907,60.05
Brightwood Park Crestwood Petworth,0.602287,11001002102,60.23
Brightwood Park Crestwood Petworth,0.617443,11001002002,61.74
Takoma Brightwood Manor Park,0.617995,11001001902,61.80
Spring Valley Palisades Wesley Heights Foxhall,0.631835,11001000802,63.18
Sheridan Barry Farm Buena Vista,0.633721,11001007407,63.37
Capitol View Marshall Heights Benning Heights,0.638837,11001009905,63.88
Woodridge Fort Lincoln Gateway,0.642561,11001011100,64.26
Twining Fairlawn Fort Davis Park Dupont Park,0.64401,11001009902,64.40
Woodridge Fort Lincoln Gateway,0.648,11001009400,64.80
River Terrace Benning Greenway Fort Dupont,0.648091,11001009604,64.81
Capitol View Marshall Heights Benning Heights,0.661781,11001009903,66.18
Hawthorne Barnaby Woods Chevy Chase,0.693464,11001001500,69.35
Colonial Village Shepherd Park N Portal,0.697499,11001001600,69.75
Spring Valley Palisades Wesley Heights Foxhall,0.71307,11001000902,71.31
Lamond Riggs Fort Totten Pleasant Hill,0.721754,11001009507,72.18
Woodridge Fort Lincoln Gateway,0.722068,11001009000,72.21
Spring Valley Palisades Wesley Heights Foxhall,0.741884,11001000801,74.19
