N_Name,HVI,OBJECTID
Georgetown Burleith/Hillandale,0.23,1
Georgetown Burleith/Hillandale,0.442,3
Georgetown Burleith/Hillandale,0.249,4
Cleveland Park Woodley Park Mass Ave Heights,0.49,5
Cleveland Park Woodley Park Mass Ave Heights,0.232,6
Cleveland Park Woodley Park Mass Ave Heights,0.307,7
Cleveland Park Woodley Park Mass Ave Heights,0.253,8
Cathedral Heights McLean Gardens Glover Park,0.377,9
Cathedral Heights McLean Gardens Glover Park,0.3,10
Spring Valley Palisades Wesley Heights Foxhall,0.343,11
Spring Valley Palisades Wesley Heights Foxhall,0.325,12
Spring Valley Palisades Wesley Heights Foxhall,0.322,13
Spring Valley Palisades Wesley Heights Foxhall,0.377,14
Friendship Heights AU Park Tenleytown,0.247,15
Cathedral Heights McLean Gardens Glover Park,0.338,16
Friendship Heights AU Park Tenleytown,0.318,17
North Cleveland Park Forest Hills Van Ness,0.26,18
North Cleveland Park Forest Hills Van Ness,0.22,19
North Cleveland Park Forest Hills Van Ness,0.271,20
Hawthorne Barnaby Woods Chevy Chase,0.338,21
Hawthorne Barnaby Woods Chevy Chase,0.466,22
Hawthorne Barnaby Woods Chevy Chase,0.327,23
Colonial Village Shepherd Park N Portal,0.309,24
Takoma Brightwood Manor Park,0.452,25
Takoma Brightwood Manor Park,0.508,26
Takoma Brightwood Manor Park,0.482,27
Takoma Brightwood Manor Park,0.549,28
Takoma Brightwood Manor Park,0.551,29
Brightwood Park Crestwood Petworth,0.494,30
Brightwood Park Crestwood Petworth,0.492,31
Brightwood Park Crestwood Petworth,0.517,32
Brightwood Park Crestwood Petworth,0.554,33
Brightwood Park Crestwood Petworth,0.561,34
Brightwood Park Crestwood Petworth,0.571,35
Brightwood Park Crestwood Petworth,0.515,36
No Data,0.611,37
Brightwood Park Crestwood Petworth,0.433,38
Brightwood Park Crestwood Petworth,0.739,39
Brightwood Park Crestwood Petworth,0.432,40
Brightwood Park Crestwood Petworth,0.365,41
Columbia Heights Mt. Pleasant Park View,0.312,42
Columbia Heights Mt. Pleasant Park View,0.289,43
Columbia Heights Mt. Pleasant Park View,0.594,44
Columbia Heights Mt. Pleasant Park View,0.614,45
Columbia Heights Mt. Pleasant Park View,0.425,46
Columbia Heights Mt. Pleasant Park View,0.555,47
Columbia Heights Mt. Pleasant Park View,0.544,48
Columbia Heights Mt. Pleasant Park View,0.583,49
Edgewood Bloomingdale Truxton Circle Eckington,0.373,50
Edgewood Bloomingdale Truxton Circle Eckington,0.558,51
Howard University Le Droit Park Cardozo/Shaw,0.531,52
Columbia Heights Mt. Pleasant Park View,0.635,53
Columbia Heights Mt. Pleasant Park View,0.447,54
Columbia Heights Mt. Pleasant Park View,0.442,55
Kalorama Heights Adams Morgan Lanier Heights,0.461,56
Kalorama Heights Adams Morgan Lanier Heights,0.275,57
Kalorama Heights Adams Morgan Lanier Heights,0.26,58
Kalorama Heights Adams Morgan Lanier Heights,0.372,59
Kalorama Heights Adams Morgan Lanier Heights,0.344,60
Dupont Circle Connecticut Avenue/K Street,0.299,61
Dupont Circle Connecticut Avenue/K Street,0.342,62
Howard University Le Droit Park Cardozo/Shaw,0.525,63
Howard University Le Droit Park Cardozo/Shaw,0.43,64
Edgewood Bloomingdale Truxton Circle Eckington,0.638,65
Downtown Chinatown Penn MV Square N Capitol St,0.659,66
Downtown Chinatown Penn MV Square N Capitol St,0.569,67
Shaw Logan Circle,0.666,68
Shaw Logan Circle,0.628,69
Shaw Logan Circle,0.589,70
Shaw Logan Circle,0.526,71
Shaw Logan Circle,0.399,72
Shaw Logan Circle,0.44,73
Shaw Logan Circle,0.333,74
Dupont Circle Connecticut Avenue/K Street,0.335,75
Dupont Circle Connecticut Avenue/K Street,0.353,76
West End Foggy Bottom GWU,0.453,77
Downtown Chinatown Penn MV Square N Capitol St,0.554,78
Downtown Chinatown Penn MV Square N Capitol St,0.457,79
Southwest/Waterfront Fort McNair Buzzard Point,0.841,81
Capitol Hill Lincoln Park,0.385,82
Capitol Hill Lincoln Park,0.43,83
Capitol Hill Lincoln Park,0.265,84
Capitol Hill Lincoln Park,0.58,85
Capitol Hill Lincoln Park,0.509,86
Capitol Hill Lincoln Park,0.477,88
Capitol Hill Lincoln Park,0.497,89
Near Southeast Navy Yard,0.66,90
Near Southeast Navy Yard,0.46,91
Congress Heights Bellevue Washington Highlands,0.582,93
Sheridan Barry Farm Buena Vista,0.66,94
Douglass Shipley Terrace,0.608,95
Douglass Shipley Terrace,0.577,96
Sheridan Barry Farm Buena Vista,0.551,97
Sheridan Barry Farm Buena Vista,0.546,98
Woodland/Fort Stanton Garfield Heights Knox Hill,0.577,99
Douglass Shipley Terrace,0.618,100
Woodland/Fort Stanton Garfield Heights Knox Hill,0.63,101
Historic Anacostia,0.706,102
Historic Anacostia,0.538,103
Twining Fairlawn Fort Davis Park Dupont Park,0.568,104
Fairfax Village Hillcrest Summit Park,0.565,105
Fairfax Village Hillcrest Summit Park,0.443,106
Twining Fairlawn Fort Davis Park Dupont Park,0.616,107
River Terrace Benning Greenway Fort Dupont,0.57,108
Capitol View Marshall Heights Benning Heights,0.627,109
River Terrace Benning Greenway Fort Dupont,0.563,110
Twining Fairlawn Fort Davis Park Dupont Park,0.667,111
Mayfair Hillbrook Mahaning Heights,0.615,112
Deanwood Burrville Lincoln Heights,0.716,113
Deanwood Burrville Lincoln Heights,0.736,114
Deanwood Burrville Lincoln Heights,0.665,115
Deanwood Burrville Lincoln Heights,0.645,116
Deanwood Burrville Lincoln Heights,0.665,117
NoMa Union Station Stanton Park Kingman Park,0.593,118
NoMa Union Station Stanton Park Kingman Park,0.764,119
NoMa Union Station Stanton Park Kingman Park,0.418,120
NoMa Union Station Stanton Park Kingman Park,0.4,121
NoMa Union Station Stanton Park Kingman Park,0.307,122
NoMa Union Station Stanton Park Kingman Park,0.36,123
NoMa Union Station Stanton Park Kingman Park,0.35,124
NoMa Union Station Stanton Park Kingman Park,0.4,125
NoMa Union Station Stanton Park Kingman Park,0.692,126
NoMa Union Station Stanton Park Kingman Park,0.56,127
Edgewood Bloomingdale Truxton Circle Eckington,0.608,128
Edgewood Bloomingdale Truxton Circle Eckington,0.739,129
Ivy City Arboretum Trinidad Carver Langston,0.712,130
Ivy City Arboretum Trinidad Carver Langston,0.734,131
Ivy City Arboretum Trinidad Carver Langston,0.691,132
Ivy City Arboretum Trinidad Carver Langston,0.709,133
Ivy City Arboretum Trinidad Carver Langston,0.729,134
Woodridge Fort Lincoln Gateway,0.652,135
Brookland Brentwood Langdon,0.63,136
Edgewood Bloomingdale Truxton Circle Eckington,0.592,137
Edgewood Bloomingdale Truxton Circle Eckington,0.551,138
Edgewood Bloomingdale Truxton Circle Eckington,0.881,139
Brookland Brentwood Langdon,0.51,140
Brookland Brentwood Langdon,0.625,141
Woodridge Fort Lincoln Gateway,0.504,142
Lamond Riggs Fort Totten Pleasant Hill,0.413,143
N Michigan Park Michigan Park University Heights,0.449,144
N Michigan Park Michigan Park University Heights,0.627,145
Lamond Riggs Fort Totten Pleasant Hill,0.655,146
Lamond Riggs Fort Totten Pleasant Hill,0.698,147
Lamond Riggs Fort Totten Pleasant Hill,0.549,148
N Michigan Park Michigan Park University Heights,0.564,149
Eastland Gardens Kenilworth,0.663,150
Mayfair Hillbrook Mahaning Heights,0.565,151
River Terrace Benning Greenway Fort Dupont,0.695,152
River Terrace Benning Greenway Fort Dupont,0.668,153
Congress Heights Bellevue Washington Highlands,0.71,154
Congress Heights Bellevue Washington Highlands,0.745,155
Congress Heights Bellevue Washington Highlands,0.8,156
Congress Heights Bellevue Washington Highlands,0.751,157
Congress Heights Bellevue Washington Highlands,0.689,158
Congress Heights Bellevue Washington Highlands,0.601,159
Congress Heights Bellevue Washington Highlands,0.629,160
Congress Heights Bellevue Washington Highlands,0.638,161
Twining Fairlawn Fort Davis Park Dupont Park,0.47,162
Twining Fairlawn Fort Davis Park Dupont Park,0.548,163
Capitol View Marshall Heights Benning Heights,0.635,164
Capitol View Marshall Heights Benning Heights,0.61,165
Capitol View Marshall Heights Benning Heights,0.618,166
Capitol View Marshall Heights Benning Heights,0.732,167
Capitol View Marshall Heights Benning Heights,0.54,168
Downtown Chinatown Penn MV Square N Capitol St,0.498,169
Southwest/Waterfront Fort McNair Buzzard Point,0.576,170
Takoma Brightwood Manor Park,0.575,171
Congress Heights Bellevue Washington Highlands,0.523,172
Southwest/Waterfront Fort McNair Buzzard Point,0.52,173
NoMa Union Station Stanton Park Kingman Park,0.475,174
Dupont Circle Connecticut Avenue/K Street,0.506,175
West End Foggy Bottom GWU,0.576,176
Southwest/Waterfront Fort McNair Buzzard Point,0.416,178
Woodridge Fort Lincoln Gateway,0.666,179
